Team and Year,Win %,Point Differential,Playoff Win %,Playoff Point Differential,Hex Color Primary,Hex Color Secondary
2019-20 Lakers,73.2,5.84,76.2,6.8,#f9a01b,#552583
2018-19 Raptors,70.7,6.04,66.7,5.5,#ce1141,#a1a1a4
2017-18 Warriors,70.7,5.96,76.2,10.0,#1d428a,#ffc72c
2016-17 Warriors,81.7,11.59,94.1,13.5,#1d428a,#ffc72c
2015-16 Cavaliers,69.5,6.03,76.2,8.7,#860038,#041e42
2014-15 Warriors,81.7,10.05,76.2,7.8,#1d428a,#ffc72c
2013-14 Spurs,75.6,7.75,69.6,9.3,#c4ced4,#000000
2012-13 Heat,80.5,7.88,69.6,6.4,#98002e,#f9a01b
2011-12 Heat,69.7,5.98,69.6,7.0,#98002e,#f9a01b
2010-11 Mavericks,69.5,4.24,76.2,5.7,#00538c,#b8c4ca
2009-10 Lakers,69.5,4.7,69.6,3.8,#f9a01b,#552583
2008-09 Lakers,79.3,7.63,69.6,7.2,#f9a01b,#552583
2007-08 Celtics,80.5,10.25,61.5,5.2,#007a33,#ba9653
2006-07 Spurs,70.7,8.42,80.0,4.0,#c4ced4,#000000
2005-06 Heat,63.4,3.89,69.6,3.8,#98002e,#f9a01b
2004-05 Spurs,72.0,7.8,69.6,4.3,#c4ced4,#000000
2003-04 Pistons,65.9,5.8,69.6,6.4,#1d42ba,#c8102e
2002-03 Spurs,73.2,5.4,66.7,5.5,#c4ced4,#000000
2001-02 Lakers,70.7,7.17,78.9,3.7,#f9a01b,#552583
2000-01 Lakers,68.3,3.42,93.8,12.8,#f9a01b,#552583
1999-00 Lakers,81.7,8.52,65.2,2.4,#f9a01b,#552583
