Year,City,Team,ID,Games Played,Win %,Points,Points Per Game,Points Against Per Game,Point Differential,Hex Color Primary,Hex Color Secondary,Team and Year
2019-20,Los Angeles,Lakers,1610612747,71,73.2,8054,113.44,107.6,5.84,#f9a01b,#552583,2019-20 Lakers
2018-19,Toronto,Raptors,1610612761,82,70.7,9384,114.44,108.4,6.04,#ce1141,#a1a1a4,2018-19 Raptors
2017-18,Golden State,Warriors,1610612744,82,70.7,9304,113.46,107.5,5.96,#1d428a,#ffc72c,2017-18 Warriors
2016-17,Golden State,Warriors,1610612744,82,81.7,9503,115.89,104.3,11.59,#1d428a,#ffc72c,2016-17 Warriors
2015-16,Cleveland,Cavaliers,1610612739,82,69.5,8555,104.33,98.3,6.03,#860038,#041e42,2015-16 Cavaliers
2014-15,Golden State,Warriors,1610612744,82,81.7,9016,109.95,99.9,10.05,#1d428a,#ffc72c,2014-15 Warriors
2013-14,San Antonio,Spurs,1610612759,82,75.6,8639,105.35,97.6,7.75,#c4ced4,#000000,2013-14 Spurs
2012-13,Miami,Heat,1610612748,82,80.5,8436,102.88,95.0,7.88,#98002e,#f9a01b,2012-13 Heat
2011-12,Miami,Heat,1610612748,66,69.7,6500,98.48,92.5,5.98,#98002e,#f9a01b,2011-12 Heat
2010-11,Dallas,Mavericks,1610612742,82,69.5,8220,100.24,96.0,4.24,#00538c,#b8c4ca,2010-11 Mavericks
2009-10,Los Angeles,Lakers,1610612747,82,69.5,8339,101.7,97.0,4.7,#f9a01b,#552583,2009-10 Lakers
2008-09,Los Angeles,Lakers,1610612747,82,79.3,8768,106.93,99.3,7.63,#f9a01b,#552583,2008-09 Lakers
2007-08,Boston,Celtics,1610612738,82,80.5,8245,100.55,90.3,10.25,#007a33,#ba9653,2007-08 Celtics
2006-07,San Antonio,Spurs,1610612759,82,70.7,8079,98.52,90.1,8.42,#c4ced4,#000000,2006-07 Spurs
2005-06,Miami,Heat,1610612748,82,63.4,8191,99.89,96.0,3.89,#98002e,#f9a01b,2005-06 Heat
2004-05,San Antonio,Spurs,1610612759,82,72.0,7888,96.2,88.4,7.8,#c4ced4,#000000,2004-05 Spurs
2003-04,Detroit,Pistons,1610612765,82,65.9,7388,90.1,84.3,5.8,#1d42ba,#c8102e,2003-04 Pistons
2002-03,San Antonio,Spurs,1610612759,82,73.2,7856,95.8,90.4,5.4,#c4ced4,#000000,2002-03 Spurs
2001-02,Los Angeles,Lakers,1610612747,82,70.7,8304,101.27,94.1,7.17,#f9a01b,#552583,2001-02 Lakers
2000-01,Los Angeles,Lakers,1610612747,82,68.3,8251,100.62,97.2,3.42,#f9a01b,#552583,2000-01 Lakers
1999-00,Los Angeles,Lakers,1610612747,82,81.7,8267,100.82,92.3,8.52,#f9a01b,#552583,1999-00 Lakers
