Year,Team,Points Against,Result
2020,Los Angeles Lakers,107.6,4-2
2019,Toronto Raptors,108.4,4-2
2018,Golden State Warriors,107.5,4-0
2017,Golden State Warriors,104.3,4-1
2016,Cleveland Cavaliers,98.3,4-3
2015,Golden State Warriors,99.9,4-2
2014,San Antonio Spurs,97.6,4-1
2013,Miami Heat,95.0,4-3
2012,Miami Heat,92.5,4-1
2011,Dallas Mavericks,96.0,4-2
2010,Los Angeles Lakers,97.0,4-3
2009,Los Angeles Lakers,99.3,4-1
2008,Boston Celtics,90.3,4-2
2007,San Antonio Spurs,90.1,4-0
2006,Miami Heat,96.0,4-2
2005,San Antonio Spurs,88.4,4-3
2004,Detroit Pistons,84.3,4-1
2003,San Antonio Spurs,90.4,4-2
2002,Los Angeles Lakers,94.1,4-0
2001,Los Angeles Lakers,97.2,4-1
2000,Los Angeles Lakers,92.3,4-2
