teamAbbr,primaryCol,secondaryCol,cityName,teamName
ARI,#97233F ,#000000,Arizona,Cardinals
ATL,#A71930 ,#000000 ,Atlanta,Falcons
BAL,#241773,#9E7C0C ,Baltimore,Ravens
BUF,#00338D ,#C60C30 ,Buffalo,Bills
CAR,#0085CA ,#101820 ,Carolina,Panthers
CHI,#0B162A ,#C83803 ,Chicago,Bears
CIN,#FB4F14,#000000,Cincinnati,Bengals
CLE,#311D00 ,#FF3C00 ,Cleveland,Browns
DAL,#003594 ,#869397 ,Dallas,Cowboys
DEN,#FB4F14 ,#002244 ,Denver,Broncos
DET,#0076B6 ,#B0B7BC ,Detroit,Lions
GNB,#203731 ,#FFB612 ,Green Bay,Packers
HOU,#03202F ,#A71930 ,Houston,Texans
IND,#002C5F ,#A2AAAD ,Indianapolis,Colts
JAX,#D7A22A,#006778,Jacksonville,Jaguars
KAN,#E31837 ,#FFB81C ,Kansas City,Chiefs
LAR,#003594 ,#FFD100,Los Angeles,Rams
LAC,#0080C6 ,#FFC20E ,Los Angeles,Chargers
LVR,#000000 ,#A5ACAF ,Las Vegas,Raiders
MIA,#008E97 ,#FC4C02 ,Miami,Dolphins
MIN,#4F2683 ,#FFC62F ,Minnesota,Vikings
NWE,#002244 ,#C60C30 ,New England,Patriots
NOR,#D3BC8D ,#101820 ,New Orleans,Saints
NYG,#0B2265 ,#A71930 ,New York,Giants
NYJ,#125740 ,#000000 ,New York,Jets
PHI,#004C54 ,#A5ACAF ,Philadelphia,Eagles
PIT,#FFB612 ,#101820 ,Pittsburgh,Steelers
SEA,#002244 ,#69BE28 ,Seattle,Seahawks
SFO,#AA0000 ,#B3995D ,San Francisco,49ers
TAM,#D50A0A ,#34302B,Tampa Bay,Buccaneers
TEN,#0C2340 ,#4B92DB ,Tennessee,Titans
WAS,#5A1414 ,#FFB612 ,Washington,Commanders
